order_id,customer_id,order_time,items,total_amount,payment_method,service_type,special_instructions,server,table_number,order_status,preparation_time,delivery_time
19f1d2ae-8a15-46be-afee-693d1e9cf890,b8519313-842f-47d3-9dd8-3f51b89e56b8,2025-06-17 17:40:04.937240,"[{'item_id': 3, 'name': 'Truffle Mac and Cheese', 'category': 'side', 'price': 18.0, 'quantity': 2, 'special_instructions': ''}, {'item_id': 5, 'name': 'Grilled Octopus', 'category': 'appetizer', 'price': 22.0, 'quantity': 2, 'special_instructions': ''}, {'item_id': 3, 'name': 'Truffle Mac and Cheese', 'category': 'side', 'price': 18.0, 'quantity': 1, 'special_instructions': 'no onions'}]",98.0,credit_card,dine_in,,Emily Davis,44,completed,33,42
73b67884-9edf-427e-ae79-b257d53c5b0a,73608a0e-9a8e-45d4-8792-66da437921df,2025-06-06 11:57:04.937368,"[{'item_id': 5, 'name': 'Grilled Octopus', 'category': 'appetizer', 'price': 22.0, 'quantity': 2, 'special_instructions': ''}, {'item_id': 1, 'name': 'Wagyu Beef Tenderloin', 'category': 'main', 'price': 65.0, 'quantity': 1, 'special_instructions': 'no onions, extra sauce'}, {'item_id': 1, 'name': 'Wagyu Beef Tenderloin', 'category': 'main', 'price': 65.0, 'quantity': 2, 'special_instructions': ''}, {'item_id': 3, 'name': 'Truffle Mac and Cheese', 'category': 'side', 'price': 18.0, 'quantity': 2, 'special_instructions': 'medium rare'}]",275.0,credit_card,takeout,,David Wilson,24,completed,34,66
cca5f736-cdbe-41f7-8cb5-4bcdefa9c83c,2cf1eb57-13ff-453f-9f26-5b18a90f35b2,2025-06-20 17:20:04.937475,"[{'item_id': 8, 'name': 'Hummus Trio', 'category': 'appetizer', 'price': 12.0, 'quantity': 3, 'special_instructions': ''}, {'item_id': 1, 'name': 'Wagyu Beef Tenderloin', 'category': 'main', 'price': 65.0, 'quantity': 3, 'special_instructions': ''}, {'item_id': 9, 'name': 'Chocolate Soufflé', 'category': 'dessert', 'price': 12.0, 'quantity': 1, 'special_instructions': 'extra sauce'}, {'item_id': 3, 'name': 'Truffle Mac and Cheese', 'category': 'side', 'price': 18.0, 'quantity': 2, 'special_instructions': 'medium rare, extra sauce'}]",279.0,credit_card,delivery,,Lisa Anderson,49,in_progress,36,49
0ff3a9fd-cd61-4481-a8c0-b017524cbe90,ba9af0ef-a51f-4efb-a354-f54add5c1a89,2025-06-08 18:49:04.937574,"[{'item_id': 9, 'name': 'Chocolate Soufflé', 'category': 'dessert', 'price': 12.0, 'quantity': 2, 'special_instructions': ''}, {'item_id': 1, 'name': 'Wagyu Beef Tenderloin', 'category': 'main', 'price': 65.0, 'quantity': 1, 'special_instructions': ''}, {'item_id': 1, 'name': 'Wagyu Beef Tenderloin', 'category': 'main', 'price': 65.0, 'quantity': 3, 'special_instructions': 'no onions, extra spicy'}]",284.0,credit_card,dine_in,,Michael Brown,10,completed,42,57
204bbad4-c4c8-4f1d-90f1-d271a74eebcb,d59b9aea-8c3a-47be-9d7e-183f18c95226,2025-06-07 13:47:04.937672,"[{'item_id': 8, 'name': 'Hummus Trio', 'category': 'appetizer', 'price': 12.0, 'quantity': 3, 'special_instructions': ''}, {'item_id': 4, 'name': 'Lobster Bisque', 'category': 'appetizer', 'price': 16.0, 'quantity': 2, 'special_instructions': ''}, {'item_id': 7, 'name': 'Fattoush Salad', 'category': 'appetizer', 'price': 14.0, 'quantity': 3, 'special_instructions': ''}, {'item_id': 6, 'name': 'Lamb Chops', 'category': 'main', 'price': 48.0, 'quantity': 3, 'special_instructions': ''}, {'item_id': 4, 'name': 'Lobster Bisque', 'category': 'appetizer', 'price': 16.0, 'quantity': 1, 'special_instructions': 'gluten-free, extra sauce'}]",270.0,debit_card,dine_in,,James Taylor,15,completed,25,33
1ff1bfaf-2e49-439b-8228-7da1e99f8ebf,779fc538-4495-4058-bcff-dfe4a98e428f,2025-06-21 14:40:04.937768,"[{'item_id': 8, 'name': 'Hummus Trio', 'category': 'appetizer', 'price': 12.0, 'quantity': 1, 'special_instructions': ''}, {'item_id': 10, 'name': 'Crème Brûlée', 'category': 'dessert', 'price': 10.0, 'quantity': 3, 'special_instructions': ''}, {'item_id': 1, 'name': 'Wagyu Beef Tenderloin', 'category': 'main', 'price': 65.0, 'quantity': 1, 'special_instructions': ''}, {'item_id': 9, 'name': 'Chocolate Soufflé', 'category': 'dessert', 'price': 12.0, 'quantity': 2, 'special_instructions': ''}]",131.0,credit_card,dine_in,,Lisa Anderson,16,completed,29,81
dcfc2a22-7069-42b1-a17f-b8dd88c0be99,eb9abc91-f897-49c4-a40a-db35eff23932,2025-06-26 19:12:04.937862,"[{'item_id': 3, 'name': 'Truffle Mac and Cheese', 'category': 'side', 'price': 18.0, 'quantity': 1, 'special_instructions': 'gluten-free, no onions'}, {'item_id': 7, 'name': 'Fattoush Salad', 'category': 'appetizer', 'price': 14.0, 'quantity': 1, 'special_instructions': ''}]",32.0,mobile_payment,takeout,,Emily Davis,33,completed,22,33
4645e79d-e446-4646-ac36-52212cae9a07,9c50b4d8-716f-4785-b3c7-c50a52300230,2025-06-27 16:26:04.937952,"[{'item_id': 4, 'name': 'Lobster Bisque', 'category': 'appetizer', 'price': 16.0, 'quantity': 1, 'special_instructions': ''}, {'item_id': 8, 'name': 'Hummus Trio', 'category': 'appetizer', 'price': 12.0, 'quantity': 2, 'special_instructions': ''}]",40.0,cash,dine_in,,Lisa Anderson,40,completed,25,45
e2837991-c9f1-41a0-be6b-a013878ffc08,ee7c10ae-4163-442c-b6bd-03f2133203c9,2025-06-12 15:15:04.938043,"[{'item_id': 1, 'name': 'Wagyu Beef Tenderloin', 'category': 'main', 'price': 65.0, 'quantity': 2, 'special_instructions': ''}, {'item_id': 5, 'name': 'Grilled Octopus', 'category': 'appetizer', 'price': 22.0, 'quantity': 1, 'special_instructions': ''}]",152.0,credit_card,dine_in,,David Wilson,19,completed,39,63
14620ae3-4d78-4d0b-8104-1e013ad8b562,ad9fe5bf-c6c2-415a-8c18-5f584e3255da,2025-06-05 11:24:04.938131,"[{'item_id': 7, 'name': 'Fattoush Salad', 'category': 'appetizer', 'price': 14.0, 'quantity': 2, 'special_instructions': ''}, {'item_id': 6, 'name': 'Lamb Chops', 'category': 'main', 'price': 48.0, 'quantity': 3, 'special_instructions': ''}, {'item_id': 9, 'name': 'Chocolate Soufflé', 'category': 'dessert', 'price': 12.0, 'quantity': 1, 'special_instructions': ''}]",184.0,debit_card,dine_in,,James Taylor,11,cancelled,31,76
fb8e7194-a108-4bf9-95b3-1573d2ea61c5,1c7ce545-23af-471b-93e2-263b4d33a323,2025-06-18 18:39:04.938223,"[{'item_id': 1, 'name': 'Wagyu Beef Tenderloin', 'category': 'main', 'price': 65.0, 'quantity': 1, 'special_instructions': 'gluten-free'}, {'item_id': 2, 'name': 'Pan-Seared Sea Bass', 'category': 'main', 'price': 45.0, 'quantity': 3, 'special_instructions': ''}, {'item_id': 5, 'name': 'Grilled Octopus', 'category': 'appetizer', 'price': 22.0, 'quantity': 3, 'special_instructions': ''}, {'item_id': 9, 'name': 'Chocolate Soufflé', 'category': 'dessert', 'price': 12.0, 'quantity': 2, 'special_instructions': ''}, {'item_id': 2, 'name': 'Pan-Seared Sea Bass', 'category': 'main', 'price': 45.0, 'quantity': 3, 'special_instructions': 'gluten-free'}]",425.0,credit_card,dine_in,cooking_preference,Lisa Anderson,1,refunded,21,50
d6bb1164-9ca5-448f-857a-45f6889dafd3,ba5a7eee-217c-4ebd-b6b7-c7cad4eb2d7f,2025-06-16 12:32:04.938323,"[{'item_id': 3, 'name': 'Truffle Mac and Cheese', 'category': 'side', 'price': 18.0, 'quantity': 1, 'special_instructions': ''}, {'item_id': 7, 'name': 'Fattoush Salad', 'category': 'appetizer', 'price': 14.0, 'quantity': 1, 'special_instructions': ''}, {'item_id': 8, 'name': 'Hummus Trio', 'category': 'appetizer', 'price': 12.0, 'quantity': 1, 'special_instructions': ''}]",44.0,debit_card,delivery,allergies,Michael Brown,36,cancelled,24,54
